date,Q,target
2025-05-01,933.3440000000004,1114.18
2025-05-02,891.3440000000004,1052.71
2025-05-03,842.1680000000003,1001.13
2025-05-04,817.7674270575097,965.34
2025-05-05,772.2720000000003,957.14
2025-05-06,765.7120000000002,963.96
2025-05-07,788.0314270575097,1001.86
2025-05-08,801.4880000000003,1024.06
2025-05-09,819.2480000000003,1058.58
2025-05-10,846.8640000000003,1138.04
2025-05-11,927.2954270575098,1169.28
2025-05-12,935.4240000000003,1147.68
2025-05-13,935.0074270575099,1100.91
2025-05-14,880.7280000000004,1064.12
2025-05-15,868.1594270575097,1031.7
2025-05-16,825.3600000000004,1003.84
2025-05-17,819.9354270575099,992.57
2025-05-18,794.0560000000003,980.2
2025-05-19,801.0234270575098,951.46
2025-05-20,761.1680000000002,920.64
2025-05-21,753.3754270575098,896.4
2025-05-22,717.1200000000002,874.08
2025-05-23,716.1274270575097,862.68
2025-05-24,690.1440000000002,866.3
2025-05-25,709.9034270575097,902.04
2025-05-26,721.6320000000002,993.12
2025-05-27,811.3594270575098,1070.14
2025-05-28,856.1120000000004,1101.23
2025-05-29,897.8474270575098,1118.41
2025-05-30,1162.5829811805293,1093.13
2025-05-31,891.3674270575099,1088.32
2025-06-01,870.6560000000003,1101.57
2025-06-02,1499.9245912527422,1142.02
2025-06-03,970.2233761866632,1194.46
2025-06-04,972.4314270575098,1202.97
2025-06-05,962.3760000000003,1186.19
2025-06-06,965.8154270575099,1248.81
2025-06-07,999.0480000000003,1375.5
2025-06-08,1104.96077901917,1504.67
2025-06-09,1203.7360000000006,1523.09
2025-06-10,1235.33542705751,1502.0
2025-06-11,1201.6000000000004,1516.42
2025-06-12,1213.1360000000004,1535.05
2025-06-13,2793.0400000000004,1494.31
2025-06-14,1222.469308626838,1438.74
2025-06-15,1150.9920000000004,1360.84
2025-06-16,1088.6720000000003,1317.38
2025-06-17,1070.76742705751,1295.31
2025-06-18,1036.2480000000003,1272.55
2025-06-19,1034.9034270575098,1245.68
2025-06-20,996.5440000000004,1232.52
2025-06-21,986.0160000000003,1184.48
2025-06-22,947.5840000000003,1131.85
2025-06-23,905.4800000000002,1085.97
2025-06-24,868.7760000000003,1035.21
2025-06-25,845.0314270575099,993.16
2025-06-26,794.5280000000002,979.46
2025-06-27,800.4314270575098,966.96
2025-06-28,773.5680000000003,962.66
2025-06-29,786.9914270575098,940.06
2025-06-30,752.0480000000002,911.19
2025-07-01,745.8154270575099,887.6
2025-07-02,710.0800000000003,878.07
2025-07-03,719.3194270575098,873.99
2025-07-04,699.1920000000002,838.2
2025-07-05,687.4234270575098,815.54
2025-07-06,652.4320000000002,807.28
2025-07-07,662.6874270575097,809.74
2025-07-08,647.7920000000003,822.48
2025-07-09,669.9263678421739,848.61
2025-07-10,678.8880000000003,860.99
2025-07-11,688.7920000000003,855.48
2025-07-12,684.3840000000002,853.99
2025-07-13,700.0554270575097,876.17
2025-07-14,700.9360000000001,894.63
2025-07-15,732.5674270575097,892.94
2025-07-16,714.3520000000003,880.47
