Q,Qq,Qb,soil,wetness,Et,groundwater,percolation,target,date
1.4828416272649748e-15,0.0,0.0,29.610170114156016,0.014828206208626826,-34.357682619647356,449.6258007636718,0.3827125054913393,41.0,2021-04-22
1913.1172316928232,0.0,0.3825851878197827,-4.3648,0.055190345519939475,5.0,449.6258007636718,0.0,22.43,2021-04-23
1.5563939026463914e-15,0.0,0.0,29.61015063258026,0.014814918244944368,-34.357682619647356,449.61814612393044,0.38273198706709455,29.31,2021-04-24
2.0337898032352084e-15,0.0,0.0,-4.3648,0.05518499792519076,5.0,449.61814612393044,0.0,26.25,2021-04-25
1.8214596497756474e-15,0.0,0.0,29.61013115001282,0.014812779207044881,-34.357682619647356,449.61049109453774,0.38275146963453865,29.41,2021-04-26
2.040728697139116e-15,0.0,0.0,-4.3648,0.055184109899105445,5.0,449.61049109453774,0.0,29.49,2021-04-27
2.0462798122622415e-15,0.0,0.0,29.610111666453633,0.014812423996610757,-34.357682619647356,449.6028356754739,0.3827709531937224,35.81,2021-04-28
1913.2146169042878,0.0,0.38260466291456613,-4.3648,0.14668116275910323,5.0,449.6028356754739,0.0,20.63,2021-04-29
1.431493812376061e-15,0.0,0.0,-4.3648,0.194479637007523,5.0,449.6028356754739,0.0,29.97,2021-04-30
2.0795865030009963e-15,0.0,0.0,-4.3648,0.10213876792685393,5.0,449.6028356754739,0.0,32.24,2021-05-01
1026.5558798714092,0.0,0.20529064690959087,-4.3648,0.05023014672711866,5.0,449.6028356754739,0.0,32.32,2021-05-02
2.242650509742816e-15,0.0,0.0,-4.3648,0.02281235443946114,5.0,449.6028356754739,0.0,39.85,2021-05-03
4576.18926281555,0.55,0.38263458910419956,-4.3648,0.08171584750591385,5.0,449.6028356754739,0.0,24.53,2021-05-04
4163.69,0.86,0.0,-4.3648,0.1202495182999626,5.0,449.6028356754739,0.0,26.05,2021-05-05
2833.3466606018737,0.19,0.38265406671370333,-4.3648,0.06579237663606637,5.0,449.6028356754739,0.0,30.29,2021-05-06
484.15000000000003,0.1,0.0,2.4787672181794225,0.02571007449915853,-2.8715365239294695,449.60227628935894,0.027969305750047396,26.86,2021-05-07
2204.0490633461286,0.06,0.3826735453146942,-4.3648,0.014407672121958202,5.0,449.60227628935894,0.0,32.27,2021-05-08
2323.92,0.48,0.0,-4.3648,0.055063771251740765,5.0,449.60227628935894,0.0,22.97,2021-05-09
4673.311471048568,0.5700000000000001,0.38269302490722273,-4.3648,0.06966262495171295,5.0,449.60227628935894,0.0,23.42,2021-05-10
726.225,0.15,0.0,-4.3648,0.045557619296766515,5.0,449.60227628935894,0.0,29.47,2021-05-11
2107.413883709442,0.04,0.3827125054913393,-4.3648,0.024270515371201985,5.0,449.60227628935894,0.0,40.95,2021-05-12
2.84147705365001e-15,0.0,0.0,29.6100907581547,0.002446986185449371,-34.357682619647356,449.59462045212905,0.38279186149265554,32.98,2021-05-13
3559.9613013290063,0.34,0.38273198706709455,-4.3648,0.09681813214948333,5.0,449.59462045212905,0.0,33.29,2021-05-14
1597.6950000000002,0.33,0.0,22.827244877003896,0.03312961884870276,-26.486146095717885,449.5887384277548,0.29410121871399153,23.9,2021-05-15
2640.1737239075105,0.15,0.38275146963453865,-4.3648,0.21758552663246356,5.0,449.5887384277548,0.0,29.44,2021-05-16
387.32,0.08,0.0,-4.3648,0.2710853751631518,5.0,449.5887384277548,0.0,28.78,2021-05-17
1914.0461514452088,0.0,0.3827709531937224,-4.3648,0.24590490792108324,5.0,449.5887384277548,0.0,39.22,2021-05-18
1355.6200000000001,0.28,0.0,-4.3648,0.12437246224421888,5.0,449.5887384277548,0.0,44.81,2021-05-19
48.415,0.01,0.0,-4.3648,0.38019571317864875,5.0,449.5887384277548,0.0,51.05,2021-05-20
4841.5,1.0,0.0,-4.3648,0.16145292482783657,5.0,449.5887384277548,0.0,33.68,2021-05-21
5567.725,1.1500000000000001,0.0,-4.3648,0.24863233444130095,5.0,449.5887384277548,0.0,27.73,2021-05-22
4212.105,0.87,0.0,-4.3648,0.12546343285230596,5.0,449.5887384277548,0.0,21.61,2021-05-23
968.3000000000001,0.2,0.0,-4.3648,0.07952304412058966,5.0,449.5887384277548,0.0,19.86,2021-05-24
47065.832443632666,9.721332736472718,0.0,-4.3648,0.15264411598464991,5.0,449.5887384277548,0.0,33.86,2021-05-25
484.15000000000003,0.1,0.0,-4.3648,0.07043228595023705,5.0,449.5887384277548,0.0,48.65,2021-05-26
5707.585513403113,1.1500000000000001,0.027969305750047396,-4.3648,0.1739616019956216,5.0,449.5887384277548,0.0,45.26,2021-05-27
968.3000000000001,0.2,0.0,9.261587522796454,0.06731417869103978,-10.743073047858939,449.5864047172535,0.11668552506248582,38.75,2021-05-28
1065.13,0.22,0.0,-4.3648,0.04233311837201076,5.0,449.5864047172535,0.0,42.27,2021-05-29
3727.955,0.77,0.0,29.61005036187422,0.00967202738577288,-34.357682619647356,449.57874807209805,0.3828322577731386,40.08,2021-05-30
484.15000000000003,0.1,0.0,-4.3648,0.05312767477258419,5.0,449.57874807209805,0.0,34.72,2021-05-31
4454.18,0.92,0.0,29.6100308742026,0.013989849946002256,-34.357682619647356,449.57109103718915,0.38285174544475725,34.61,2021-06-01
2059.395703394024,0.03,0.38279186149265554,-4.3648,0.05485477137725921,5.0,449.57109103718915,0.0,33.25,2021-06-02
2.3071822230491534e-15,0.0,0.0,29.610011385538982,0.014680688587872259,-34.357682619647356,449.56343361250697,0.38287123410837504,28.29,2021-06-03
1470.6531441793147,0.0,0.29410121871399153,-4.3648,0.055131074412940184,5.0,449.56343361250697,0.0,23.27,2021-06-04
1.614680611439212e-15,0.0,0.0,-4.3648,0.039744999081257414,5.0,449.56343361250697,0.0,35.21,2021-06-05
2.4431845435657353e-15,0.0,0.0,29.609991895883315,0.008636779669471545,-34.357682619647356,449.5557757980317,0.3828907237640428,29.02,2021-06-06
2.0136670109138776e-15,0.0,0.0,-4.3648,0.052713478422862524,5.0,449.5557757980317,0.0,24.52,2021-06-07
1.7014167852380523e-15,0.0,0.0,29.609972405235546,0.013824171406113589,-34.357682619647356,449.5481175937434,0.38291021441181083,28.9,2021-06-08
2.005340338229189e-15,0.0,0.0,-4.3648,0.05478840269315152,5.0,449.5481175937434,0.0,25.05,2021-06-09
726.225,0.15,0.0,29.609952913595627,0.014654141114229188,-34.357682619647356,449.5404589996224,0.38292970605172977,23.11,2021-06-10
1.6035783811929604e-15,0.0,0.0,-4.3648,0.05512035815037941,5.0,449.5404589996224,0.0,25.66,2021-06-11
1.780520175742595e-15,0.0,0.0,29.609933420963507,0.014786923297120343,-34.357682619647356,449.5328000156487,0.3829491986838501,12.53,2021-06-12
8.694434061595757e-16,0.0,0.0,-4.3648,0.05517343859586691,5.0,449.5328000156487,0.0,33.05,2021-06-13
2.293304435241339e-15,0.0,0.0,29.609913927339136,0.014808155475315343,-34.357682619647356,449.5251406418026,0.38296869230822206,36.79,2021-06-14
2.552819067247469e-15,0.0,0.0,-4.3648,0.055181899037825256,5.0,449.5251406418026,0.0,37.45,2021-06-15
2.598615767013257e-15,0.0,0.0,29.60989443272246,0.014811539652098683,-34.357682619647356,449.5174808780641,0.38298818692489645,28.92,2021-06-16
583.4859680749604,0.0,0.11668552506248582,-4.3648,0.05518322027756815,5.0,449.5174808780641,0.0,27.25,2021-06-17
1.8908485888147197e-15,0.0,0.0,-4.3648,0.1978065228614894,5.0,449.5174808780641,0.0,24.48,2021-06-18
1914.3527049945797,0.0,0.3828322577731386,-4.3648,0.23156564056788598,5.0,449.5174808780641,0.0,26.58,2021-06-19
1.844357999658541e-15,0.0,0.0,-4.3648,0.42473657046005636,5.0,449.5174808780641,0.0,26.71,2021-06-20
1914.4501530965085,0.0,0.38285174544475725,-4.3648,0.3289920034150762,5.0,449.5174808780641,0.0,33.01,2021-06-21
2.290528877679776e-15,0.0,0.0,-4.3648,0.24411376994274023,5.0,449.5174808780641,0.0,26.13,2021-06-22
