DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
332,19150727,   32,     ,
332,19150728,  220,     ,
332,19150729,   72,     ,
332,19150730,    0,     ,
332,19150731,   10,     ,
332,19150801,    0,     ,
332,19150802,   11,     ,
332,19150803,  164,     ,
332,19150804,   90,     ,
332,19150805,    0,     ,
332,19150806,    0,     ,
332,19150807,    0,     ,
332,19150808,    0,     ,
332,19150809,    0,     ,
332,19150810,    2,     ,
332,19150811,   22,     ,
332,19150812,    7,     ,
332,19150813,    1,     ,
332,19150814,  175,     ,
332,19150815,   45,     ,
332,19150816,  175,     ,
332,19150817,    2,     ,
332,19150818,   44,     ,
332,19150819,    2,     ,
332,19150820,    4,     ,
332,19150821,  100,     ,
332,19150822,  127,     ,
332,19150823,    0,     ,
332,19150824,    0,     ,
332,19150825,    0,     ,
332,19150826,    0,     ,
332,19150827,    0,     ,
332,19150828,    0,     ,
332,19150829,    0,     ,
332,19150830,   75,     ,
332,19150831,   59,     ,
332,19150901,   75,     ,
332,19150902,   85,     ,
332,19150903,   21,     ,
332,19150904,   25,     ,
332,19150905,   10,     ,
332,19150906,    0,     ,
332,19150907,    0,     ,
332,19150908,    0,     ,
332,19150909,    0,     ,
332,19150910,    0,     ,
332,19150911,    0,     ,
332,19150912,    0,     ,
332,19150913,   10,     ,
332,19150914,   34,     ,
332,19150915,    0,     ,
332,19150916,    0,     ,
332,19150917,    0,     ,
332,19150918,    8,     ,
332,19150919,    0,     ,
332,19150920,    0,     ,
332,19150921,    0,     ,
332,19150922,    0,     ,
332,19150923,    0,     ,
332,19150924,    7,     ,
332,19150925,    1,     ,
332,19150926,   48,     ,
332,19150927,    0,     ,
332,19150928,   20,     ,
332,19150929,   31,     ,
332,19150930,   42,     ,
332,19151001,    0,     ,
332,19151002,    0,     ,
332,19151003,    0,     ,
332,19151004,    0,     ,
332,19151005,   18,     ,
332,19151006,   20,     ,
332,19151007,   20,     ,
332,19151008,    0,     ,
332,19151009,    0,     ,
332,19151010,   10,     ,
332,19151011,    0,     ,
332,19151012,    0,     ,
332,19151013,   36,     ,
332,19151014,    1,     ,
332,19151015,    1,     ,
332,19151016,    1,     ,
332,19151017,    0,     ,
332,19151018,    0,     ,
332,19151019,    0,     ,
332,19151020,    0,     ,
332,19151021,    0,     ,
332,19151022,    0,     ,
332,19151023,    0,     ,
332,19151024,    0,     ,
332,19151025,    0,     ,
332,19151026,    0,     ,
332,19151027,    0,     ,
332,19151028,    2,     ,
332,19151029,    3,     ,
332,19151030,    0,     ,
332,19151031,    0,     ,
332,19151101,    0,     ,
332,19151102,   60,     ,
332,19151103,   18,     ,
332,19151104,    0,     ,
332,19151105,    0,     ,
332,19151106,    0,     ,
332,19151107,    2,     ,
332,19151108,    6,     ,
332,19151109,    0,     ,
332,19151110,    3,     ,
332,19151111,   71,     ,
332,19151112,   74,     ,
332,19151113,  152,     ,
332,19151114,   56,     ,
332,19151115,   24,     ,
332,19151116,   10,     ,
332,19151117,   20,     ,
332,19151118,    3,     ,
332,19151119,    0,     ,
332,19151120,    0,     ,
332,19151121,    0,     ,
332,19151122,    0,     ,
332,19151123,    0,     ,
332,19151124,   10,     ,
332,19151125,    2,     ,
332,19151126,   50,     ,
332,19151127,   20,     ,
